Serial No.,College Name,Info
1,BITS Pilani (Pilani Campus),"BITS Pilani Admission to all programs is entrance-based. The university conducts BITSAT (BITS Admission Test) for integrated first-degree programs including BE, B.Pharm, and M.Sc. For higher degree programs including ME and M.Pharm, BITS Pilani conducts the BITS HD online test and also accepts GATE/GPAT scores for admission. MBA in Business Analytics admissions are based on the overall performance in the Business Analytics Admission Test (BAAT), personal interview, CAT/XAT, work experience, and academic history. Apart from integrated first-degree and higher degree programs, BITS Pilani offers doctoral programs and a B.Sc Computer Science program in association with Coursera."
2,Institute of Chemical Technology - [ICT],"ICT Mumbai Admission is based on valid scores in entrance examinations. ICT Mumbai is known for its flagship program of B.Tech which is being offered in 7 specializations. For the B.Tech admissions at ICT Mumbai, candidates are required to appear for the JEE Main or MHT CET examination and participate in the MHT CET counselling respectively for final seat allotments. ICT Mumbai charges a fee of INR 89,100 per year for its B.Tech program. | ICT Mumbai admission process involves other national level entrance examinations too such as GATE/NET/GPAT/JRF/ GAT-B for the programs such as M.Tech and Ph.D. respectively. The selection criteria, Cutoff, dates, eligibility, and application process are discussed in the article."
3,Vellore Institute of Technology - [VIT University],"VIT Vellore Admission to its flagship courses takes place through entrance examinations conducted by the institute itself. Vellore Institute of Technology (VIT) University is a private research University located in Vellore, Tamil Nadu. VIT Vellore is ranked 8th among the top Universities in India as per NIRF 2023 report.  Moreover, VIT Vellore has been accredited with ‘A++’ grade by NAAC for the last 3 consecutive years. VIT Vellore offers 66 undergraduates, 58 postgraduates, 15 integrated programs, 2 research programs, and 2 M.Tech industrial programs. | Here are some important dates on VIT Vellore Admission 2024."
4,Thapar Institute of Engineering and Technology - [Thapar University],"Thapar Institute of Engineering and Technology offers admission to UG, PG, and Doctoral courses in the streams of Engineering, Management, Science, and Liberal Arts. Admission to various courses at the institute is both entrance and merit-based depending on the course the candidate is applying too. Thapar  Institute of Engineering and Technology, formally known as Thapar University, is a top private university in Punjab. B.Tech and MBA are the flagship courses offered by TIET in various specializations. | Candidates seeking admission to Thapar Institute of Engineering and Technology need to apply online on the official website of the university within the specified dates."
5,Indian Institute of Space Science and Technology - [IIST],"IIST Admission 2024 is either merit-based or entrance-based. At undergraduate level, IIST Trivandrum offers B.Tech, B.Tech + MS & B.Tech + M.Tech programs whereas at postgraduate level it offers M.Tech & MS. For the B.Tech admissions at IIST, candidates are required to appear for the both JEE Main and JEE Advanced examination and participate in the counseling for final seat allotments. M.tech Admission at IIST are done on the basis of GATE Scores. Further, for PhD Admission, it accepts UGC NET-JRF/ CSIR NET-JRF/ JEST/ GATE  follwed by Online Screening & Online Interview. | IIST charges INR 91700 Per Semester for UG programs and INR 67200 Per Semester for PG programs. The registration fee for UG Admission 2024 is INR 1000 for Male candidates in General/ EWS/ OBC-NCL & INR 500 for Female candidates in General/ EWS/ OBC-NCL & All SC/ ST/ PD candidates."
6,Birla Institute of Technology - [BIT Mesra],"BIT Mesra admission 2024 usually begins in June-July, offering a variety of 58 courses including BTech, BArch, MTech, MSc, MBA, etc. Among all the courses, BIT Mesra offers BTech as its flagship program, based on the JEE Mains score followed by the JoSAA. JoSAA released the cutoff for the home state and other state candidates, with the closing cutoff for the BIT Mesra BTech remaining at 50395 ranks (OS) and 69822 ranks (HS). | For PG and doctorate levels, BIT Mesra offers MTech, MSc, MBA, MCA, and PhD programs. Admission to the MTech, MSc, and MBA programs requires valid scores in the national-based entrance examinations. Further, MCA candidates need to qualify for the BIT MCA program. PhD aspirants must clear the entrance exam conducted by BIT Mesra for selection."
7,Amity University,"Amity University Noida course admission 2024 is open for undergraduate and postgraduate courses. The Amity University Noida admission last date is not announced by the university. However, its admissions usually begin in January/ February and the application form is available for INR 1500 for Indian applicants. | Amity University Noida has an Admission Microsite, a two-way window between students and the university. Students must log in to the microsite using the form number and password generated while filling out the Amity Noida admission form."
8,SRM Engineering College,"SRM University was founded in 1985. SRM Engineering College, Kanchipuram offers B.Tech, B.Arch., and B.Des. in various streams at UG level. It also offers M.Tech and M.Arch programs at the PG level."
9,SSN College of Engineering - [SSNCE],"SSN College of Engineering (SSNCE), established in 1996, is an engineering college located in Chennai, Tamil Nadu. It is affiliated to Anna University. SSNCE is the on;y engineering college under the USN chain of institutions. | SSN College of Engineering offers B.Tech and M.Tech programs in full-time mode. Candidates seeking admission will have to fill the online application form available at the official website of the institute. The application fee is INR 1250/- for all the programs."
10,SASTRA University,"Sastra University Admission for the M.Tech course is ongoing. The University offers UG, PG and PhD programs in the disciplines of Arts, Science, Commerce, Engineering, Paramedical Science, Management, Law and Fine Arts. Sastra University is a private university established in 1984 and is affiliated with University Grants Commission (UGC). Admission to all the courses is based on merit in the respective qualifying examinations. Admissions are conducted online on the official website of the university. | Check More: Sastra University Distance Education"
