Serial No.,College Name,Course,Fees,Eligibility,Application Date
1,BITS Pilani (Pilani Campus),"BE
8 Courses",6.04 Lakhs - 6.04 Lakhs (1st Year Fees),10+2 with 75% + BISAT,18 May - 20 Dec 2024
1,BITS Pilani (Pilani Campus),"MBA
1 Course",5.72 Lakhs (1st Year Fees),Graduation with 60%,11 Dec - 27 Feb 2024
1,BITS Pilani (Pilani Campus),"ME
16 Courses",5.72 Lakhs - 6.04 Lakhs (1st Year Fees),Graduation with 60%,6 Mar - 20 Jul 2024
1,BITS Pilani (Pilani Campus),"M.Pharm
3 Courses",6.04 Lakhs (1st Year Fees),Graduation with 60%,6 Mar - 20 Jul 2024
1,BITS Pilani (Pilani Campus),"M.Sc
6 Courses",6.04 Lakhs (1st Year Fees),GRaduation with 60%,15 Jan - 11 Apr 2024
2,Institute of Chemical Technology - [ICT],"B.Tech
8 Courses","89,100 (1st Year Fees)",10+2 with 50% + MHTCET,16 Jan - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"M.Pharm
5 Courses","92,000 - 1.92 Lakhs (1st Year Fees)",Pass in B.Pharm. + GPAT,29 May - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"Ph.D
31 Courses","95,000 (1st Year Fees)",Post Graduation with 60%+GATE,-
2,Institute of Chemical Technology - [ICT],"M.Sc
6 Courses","65,000 - 70,000 (1st Year Fees)",Graduation,29 May - 31 Jul 2024
2,Institute of Chemical Technology - [ICT],"PG Diploma
1 Course","15,000 (1st Year Fees)",Bachelor’s degree with 60%,-
3,Vellore Institute of Technology - [VIT University],"B.Tech
39 Courses",1.76 Lakhs - 1.98 Lakhs (1st Year Fees),10+2 + VITEEE,1 Nov - 10 Apr 2024
3,Vellore Institute of Technology - [VIT University],"BCA
1 Course","57,000 (1st Year Fees)",10+2 with 60%,2 Feb - 31 May 2024
3,Vellore Institute of Technology - [VIT University],"MBA
1 Course",3.52 Lakhs (1st Year Fees),Graduation + CAT/MAT/CMAT,9 Sept - 05 Feb 2024
3,Vellore Institute of Technology - [VIT University],"BBA
1 Course","57,000 (1st Year Fees)",10+2,15 May - 31 May 2024
3,Vellore Institute of Technology - [VIT University],"B.Des
1 Course",1.76 Lakhs (1st Year Fees),10+2 + UCEED,31 Jan - 31 May 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"B.Tech
1 Course",5.4 Lakhs (1st Year Fees),10+2,8 May - 31 Jul 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"M.Tech
7 Courses",1.79 Lakhs (1st Year Fees),Graduation,30 June 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE
15 Courses",4.55 Lakhs - 5.95 Lakhs (1st Year Fees),10+2,8 May - 31 Jul 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA
12 Courses",5.97 Lakhs - 13.31 Lakhs (1st Year Fees),Graduation with 50%,15 Jan - 27 Mar 2024
4,Thapar Institute of Engineering and Technology - [Thapar University],"ME
14 Courses",1.79 Lakhs - 1.99 Lakhs (1st Year Fees),Graduation,30 June 2024
5,Indian Institute of Space Science and Technology - [IIST],"B.Tech
2 Courses",1.45 Lakhs (1st Year Fees),10+2 with 75% + JEE Advanced,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"M.Tech
15 Courses","87,400 (1st Year Fees)",Graduation with 60% + GATE,4 May - 07 Jun 2024
5,Indian Institute of Space Science and Technology - [IIST],"M.Sc
1 Course","87,400 (1st Year Fees)",Graduation with 60% + GATE,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"B.Tech + M.S
2 Courses",1.45 Lakhs (1st Year Fees),10+2 with 75% + JEE Advanced,4 May 2024
5,Indian Institute of Space Science and Technology - [IIST],"Ph.D
7 Courses","21,400 (1st Year Fees)",Post Graduation with 60%,4 May 2024
6,Birla Institute of Technology - [BIT Mesra],"B.Tech
11 Courses",4.13 Lakhs (1st Year Fees),10+2 with 60% + JEE MAINS,25 May - 21 Jun 2024
6,Birla Institute of Technology - [BIT Mesra],"MBA
1 Course",3.03 Lakhs (1st Year Fees),Graduation with 55%+CAT/XAT,27 Jan - 18 Aug 2024
6,Birla Institute of Technology - [BIT Mesra],B.Arch,4.28 Lakhs (1st Year Fees),10+2 with 60%+ JEE MAINS,25 May - 21 Jun 2024
6,Birla Institute of Technology - [BIT Mesra],BHMCT,2.2 Lakhs (1st Year Fees),10+2 with 50%,20 Apr - 18 Aug 2024
6,Birla Institute of Technology - [BIT Mesra],"M.Tech
25 Courses",1.71 Lakhs (1st Year Fees),Graduation with 55% + GATE,22 Mar - 18 Aug 2024
7,Amity University,"B.Tech
29 Courses",1.87 Lakhs - 4.13 Lakhs (1st Year Fees),10+2 with 60% + Amity JEE,14 Oct 2024
7,Amity University,"BCA
1 Course",2.24 Lakhs (1st Year Fees),10+2,14 Oct 2024
