Serial No.,College Name,Course Name,Cutoff Mark
1,BITS Pilani (Pilani Campus),"BE Computer Science
Compare",327
1,BITS Pilani (Pilani Campus),"BE Electronics & Communication Engineering
Compare",314
1,BITS Pilani (Pilani Campus),"BE Electrical and Electronics Engineering
Compare",292
1,BITS Pilani (Pilani Campus),"BE Electronics and Instrumentation Engineering
Compare",282
1,BITS Pilani (Pilani Campus),"M.Sc Economics
Compare",271
1,BITS Pilani (Pilani Campus),"MBA Business Analytics
Compare",80
2,Institute of Chemical Technology - [ICT],"B.Tech Oleo chemicals and Surfactants Technology
Compare",99.91
2,Institute of Chemical Technology - [ICT],"B.Tech Food Engineering
Compare",99.69
2,Institute of Chemical Technology - [ICT],"Bachelor of Chemical Engineering
Compare",99.62
2,Institute of Chemical Technology - [ICT],"B.Tech Plastic and Polymer Engineering
Compare",99.51
2,Institute of Chemical Technology - [ICT],"B.Tech Surface Coating Technology
Compare",99.46
2,Institute of Chemical Technology - [ICT],"Bachelor of Chemical Engineering
Compare",1345
2,Institute of Chemical Technology - [ICT],"B.Tech Plastic and Polymer Engineering
Compare",2189
2,Institute of Chemical Technology - [ICT],"B.Tech Pharmaceuticals Chemistry and Technology
Compare",2312
2,Institute of Chemical Technology - [ICT],"B.Tech Food Engineering
Compare",2822
2,Institute of Chemical Technology - [ICT],"B.Tech Oleo chemicals and Surfactants Technology
Compare",3777
2,Institute of Chemical Technology - [ICT],"Bachelor of Chemical Engineering
Compare",1345
2,Institute of Chemical Technology - [ICT],"B.Tech Plastic and Polymer Engineering
Compare",2189
2,Institute of Chemical Technology - [ICT],"B.Tech Pharmaceuticals Chemistry and Technology
Compare",2312
2,Institute of Chemical Technology - [ICT],"B.Tech Food Engineering
Compare",2822
2,Institute of Chemical Technology - [ICT],"B.Tech Oleo chemicals and Surfactants Technology
Compare",3777
3,Vellore Institute of Technology - [VIT University],"B.Tech Computer Science Engineering
Compare",7000
3,Vellore Institute of Technology - [VIT University],"B.Tech Information Security
Compare",7500
3,Vellore Institute of Technology - [VIT University],"B.Tech Information Technology
Compare",12000
3,Vellore Institute of Technology - [VIT University],"B.Tech Automotive Engineering
Compare",12300
3,Vellore Institute of Technology - [VIT University],"B.Tech Bioinformatics
Compare",13500
3,Vellore Institute of Technology - [VIT University],"MBA
Compare",95
3,Vellore Institute of Technology - [VIT University],"MBA
Compare",80
3,Vellore Institute of Technology - [VIT University],"MBA
Compare",85
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE Computer Engineering
Compare",53677
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE Computer Science and Engineering
Compare",88260
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE Electronics and Computer Engineering
Compare",99283
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE Electronics & Communication Engineering
Compare",136641
4,Thapar Institute of Engineering and Technology - [Thapar University],"BE Mechanical Engineering
Compare",140811
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Big Data & Business Analytics
Compare",50
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Education Management and Leadership
Compare",50
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Energy and Sustainability
Compare",50
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Finance
Compare",50
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Human Resource Management
Compare",50
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Big Data & Business Analytics
Compare",75
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Education Management and Leadership
Compare",75
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Energy and Sustainability
Compare",75
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Finance
Compare",75
4,Thapar Institute of Engineering and Technology - [Thapar University],"MBA Human Resource Management
Compare",75
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Machine Learning and Computing,621
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Geoinformatics,570
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Aerodynamics and Flight Mechanics,553
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Quantum Technology,525
5,Indian Institute of Space Science and Technology - [IIST],M.Tech VLSI and Microsystem,523
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Structures and Design,504
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Thermal and Propulsion,500
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Optical Engineering,466
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Earth System Science and Technology,462
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Control Systems,454
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Power Electronics,446
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Digital System & Signal Processing,444
5,Indian Institute of Space Science and Technology - [IIST],M.Tech RF and Microwave Engineering,434
5,Indian Institute of Space Science and Technology - [IIST],M.Sc Astronomy and Astrophysics,420
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Material Science and Technology,410
5,Indian Institute of Space Science and Technology - [IIST],M.Tech Manufacturing Technology,404
6,Birla Institute of Technology - [BIT Mesra],"B.Arch
Compare",981
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Computer Science Engineering
Compare",16346
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Artificial Intelligence and Machine Learning
Compare",17535
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Electronics & Communication Engineering
Compare",23920
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Electrical and Electronics Engineering
Compare",27672
6,Birla Institute of Technology - [BIT Mesra],"B.Arch
Compare",3118
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Computer Science Engineering
Compare",21977
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Artificial Intelligence and Machine Learning
Compare",24309
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Electronics & Communication Engineering
Compare",34327
6,Birla Institute of Technology - [BIT Mesra],"B.Tech Electrical and Electronics Engineering
Compare",41600
6,Birla Institute of Technology - [BIT Mesra],"MBA
Compare",75
6,Birla Institute of Technology - [BIT Mesra],"MBA
Compare",43
7,Amity University,"MBA
Compare",85
7,Amity University,"MBA Biotechnology
Compare",85
7,Amity University,"MBA Business Analytics
Compare",85
7,Amity University,"MBA Entrepreneurship
Compare",85
7,Amity University,"MBA Finance
Compare",85
7,Amity University,"MBA
Compare",60
7,Amity University,"MBA Food & Agri-Business Management
Compare",60
7,Amity University,"MBA Biotechnology
Compare",60
7,Amity University,"MBA Business Analytics
Compare",60
7,Amity University,"MBA Competitive Intelligence and Strategic Management
Compare",60
7,Amity University,"MBA
Compare",90
7,Amity University,"MBA Food & Agri-Business Management
Compare",90
7,Amity University,"MBA Biotechnology
Compare",90
7,Amity University,"MBA Business Analytics
Compare",90
7,Amity University,"MBA Competitive Intelligence and Strategic Management
Compare",90
8,SRM Engineering College,No data found,No data found
9,SSN College of Engineering - [SSNCE],BE Computer Science and Engineering,511
9,SSN College of Engineering - [SSNCE],BE Electronics & Communication Engineering,1279
9,SSN College of Engineering - [SSNCE],B.Tech Information Technology,2960
9,SSN College of Engineering - [SSNCE],B.Tech + M.Tech Computer Science & Engineering,3496
9,SSN College of Engineering - [SSNCE],BE Electrical and Electronics Engineering,4959
9,SSN College of Engineering - [SSNCE],MBA,98
10,SASTRA University,No data found,No data found
11,Manipal Institute of Technology - [MIT],"B.Tech Computer Science Engineering
Compare",956
11,Manipal Institute of Technology - [MIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",1387
11,Manipal Institute of Technology - [MIT],"B.Tech Computer Science and Financial Technology
Compare",2210
11,Manipal Institute of Technology - [MIT],"B.Tech Information Technology
Compare",4037
11,Manipal Institute of Technology - [MIT],"B.Tech Computer and Communication Engineering
Compare",4583
11,Manipal Institute of Technology - [MIT],"B.Tech Mathematics and Computing
Compare",202528
11,Manipal Institute of Technology - [MIT],"B.Tech Computer Science Engineering
Compare",232564
11,Manipal Institute of Technology - [MIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",257822
11,Manipal Institute of Technology - [MIT],"B.Tech Computer Science and Financial Technology
Compare",345064
11,Manipal Institute of Technology - [MIT],"B.Tech Chemical Engineering
Compare",345331
12,P.S.G College of Technology - [PSGCT],"BE Electronics & Communication Engineering
Compare",1607
12,P.S.G College of Technology - [PSGCT],"BE Electrical and Electronics Engineering
Compare",11040
12,P.S.G College of Technology - [PSGCT],"BE Civil Engineering
Compare",16545
12,P.S.G College of Technology - [PSGCT],"BE Metallurgical Engineering
Compare",18635
12,P.S.G College of Technology - [PSGCT],"BE Mechanical Engineering
Compare",22564
12,P.S.G College of Technology - [PSGCT],"MCA
Compare",98
13,Sathyabama Institute of Science and Technology,"BDS
Compare",1215293
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Agribusiness
Compare",25
14,Kalinga Institute of Industrial Technology - [KIIT],"PG Diploma in Infrastructure Development & Management
Compare",25
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Rural Management
Compare",25
14,Kalinga Institute of Industrial Technology - [KIIT],"PG Diploma in Community Development
Compare",25
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA
Compare",25
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA
Compare",73
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Agribusiness
Compare",73
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Business Analytics
Compare",73
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Health Care Management
Compare",73
14,Kalinga Institute of Industrial Technology - [KIIT],"PG Diploma in Infrastructure Development & Management
Compare",73
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Agribusiness
Compare",80
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Rural Management
Compare",80
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA
Compare",80
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Business Analytics
Compare",80
14,Kalinga Institute of Industrial Technology - [KIIT],"MBA Health Care Management
Compare",80
14,Kalinga Institute of Industrial Technology - [KIIT],"M.B.B.S.
Compare",273827
15,Siksha 'O' Anusandhan University - [SOA],MBA,25
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospitality Management,25
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospital Administration,25
15,Siksha 'O' Anusandhan University - [SOA],MBA Integrated Course,25
15,Siksha 'O' Anusandhan University - [SOA],MBA,65
15,Siksha 'O' Anusandhan University - [SOA],MBA Integrated Course,65
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospitality Management,65
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospital Administration,60
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospital Administration,64
15,Siksha 'O' Anusandhan University - [SOA],MBA,64
15,Siksha 'O' Anusandhan University - [SOA],MBA Integrated Course,64
15,Siksha 'O' Anusandhan University - [SOA],MBA Hospitality Management,64
16,K L University - [KLU],No data found,No data found
17,Kalasalingam Academy of Research and Education,No data found,No data found
18,R V College of Engineering - [RVCE],"BE Computer Science and Engineering
Compare",290
18,R V College of Engineering - [RVCE],"BE Data Science
Compare",459
18,R V College of Engineering - [RVCE],"BE Information Science & Engineering
Compare",489
18,R V College of Engineering - [RVCE],"BE Artificial Intelligence & Machine Learning
Compare",530
18,R V College of Engineering - [RVCE],"BE Cyber Security
Compare",604
18,R V College of Engineering - [RVCE],"MCA
Compare",33
18,R V College of Engineering - [RVCE],"M.Tech Computer Science and Engineering
Compare",1180
18,R V College of Engineering - [RVCE],"M.Tech Structural Engineering
Compare",1183
18,R V College of Engineering - [RVCE],"M.Tech VLSI Design & Embedded System
Compare",1397
18,R V College of Engineering - [RVCE],"M.Tech Biotechnology
Compare",1415
18,R V College of Engineering - [RVCE],"BE Computer Science and Engineering
Compare",193
18,R V College of Engineering - [RVCE],"BE Data Science
Compare",274
18,R V College of Engineering - [RVCE],"BE Artificial Intelligence & Machine Learning
Compare",321
18,R V College of Engineering - [RVCE],"BE Information Science & Engineering
Compare",418
18,R V College of Engineering - [RVCE],"BE Cyber Security
Compare",424
19,Ramaiah Institute of Technology - [RIT],"B.Arch
Compare",58
19,Ramaiah Institute of Technology - [RIT],"BE Computer Science and Engineering
Compare",1254
19,Ramaiah Institute of Technology - [RIT],"BE Information Science & Engineering
Compare",2241
19,Ramaiah Institute of Technology - [RIT],"BE Artificial Intelligence & Machine Learning
Compare",2256
19,Ramaiah Institute of Technology - [RIT],"BE Cyber Security
Compare",2382
19,Ramaiah Institute of Technology - [RIT],"MCA
Compare",160
19,Ramaiah Institute of Technology - [RIT],"MBA Marketing
Compare",370
19,Ramaiah Institute of Technology - [RIT],"MBA Banking & Insurance
Compare",370
19,Ramaiah Institute of Technology - [RIT],"MBA Marketing and Finance
Compare",370
19,Ramaiah Institute of Technology - [RIT],"MBA Finance
Compare",370
19,Ramaiah Institute of Technology - [RIT],"B.Arch
Compare",223
19,Ramaiah Institute of Technology - [RIT],"BE Computer Science and Engineering
Compare",761
19,Ramaiah Institute of Technology - [RIT],"BE Computer Science and Engineering (Artificial Intelligence and Machine)
Compare",1227
