Serial No.,College Name,Department,Location
1,BITS Pilani (Pilani Campus),"Department of Management, BITS","Pilani, Rajasthan"
1,BITS Pilani (Pilani Campus),BITS Law School,"Mumbai, Maharashtra"
2,Institute of Chemical Technology - [ICT],No data found,No data found
3,Vellore Institute of Technology - [VIT University],VIT Business School - [VITBS],"Vellore, Tamil Nadu"
4,Thapar Institute of Engineering and Technology - [Thapar University],"LM Thapar School of Management, Derabassi","Chandigarh, Chandigarh"
4,Thapar Institute of Engineering and Technology - [Thapar University],Thapar School of Liberal Arts & Sciences - [TSLAS],"Patiala, Punjab"
5,Indian Institute of Space Science and Technology - [IIST],No data found,No data found
6,Birla Institute of Technology - [BIT Mesra],No data found,No data found
7,Amity University,Amity Institute of English and Business Communication - [AIEBC],"Noida, Uttar Pradesh"
7,Amity University,Amity Institute of Psychology and Allied Sciences - [AIPS],"Noida, Uttar Pradesh"
7,Amity University,Amity School of Performing Arts - [ASPA],"Noida, Uttar Pradesh"
7,Amity University,"RICS School of Built Environment, Amity University - [RICS SBE]","Noida, Uttar Pradesh"
8,SRM Engineering College,No data found,No data found
9,SSN College of Engineering - [SSNCE],No data found,No data found
10,SASTRA University,"Sastra University, School of Management","Thanjavur, Tamil Nadu"
10,SASTRA University,"Sastra University, School of Law","Thanjavur, Tamil Nadu"
11,Manipal Institute of Technology - [MIT],No data found,No data found
12,P.S.G College of Technology - [PSGCT],No data found,No data found
13,Sathyabama Institute of Science and Technology,No data found,No data found
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Fashion Technology - [KSOFT],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Law - [KSOL],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Mechanical Engineering,"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Management - [KSOM],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Rural Management - [KSRM],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Computer Application - [KSCA],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Computer Engineering - [KSCE],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Civil Engineering,"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Electrical Engineering,"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Electronics Engineering,"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Biotechnology - [KSBT],"Bhubaneswar, Odisha"
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT School of Chemical Technology,"Bhubaneswar, Odisha"
15,Siksha 'O' Anusandhan University - [SOA],No data found,No data found
16,K L University - [KLU],No data found,No data found
17,Kalasalingam Academy of Research and Education,No data found,No data found
18,R V College of Engineering - [RVCE],No data found,No data found
19,Ramaiah Institute of Technology - [RIT],No data found,No data found
20,International Institute of Information Technology - [IIIT-B],No data found,No data found
21,BMS College of Engineering - [BMSCE],No data found,No data found
