Serial No.,College Name,Location,URL
1,BITS Pilani (Pilani Campus),Pilani,https://collegedunia.com/university/25800-bits-pilani-pilani-campus-pilani
2,Institute of Chemical Technology - [ICT],Mumbai,https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai
3,Vellore Institute of Technology - [VIT University],Vellore,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore
4,Thapar Institute of Engineering and Technology - [Thapar University],Patiala,https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-university-patiala
5,Indian Institute of Space Science and Technology - [IIST],Thiruvananthapuram,https://collegedunia.com/university/25642-indian-institute-of-space-science-and-technology-iist-thiruvananthapuram
6,Birla Institute of Technology - [BIT Mesra],Ranchi,https://collegedunia.com/university/13088-birla-institute-of-technology-bit-mesra-ranchi
7,Amity University,Noida,https://collegedunia.com/university/54797-amity-university-noida
8,SRM Engineering College,Kanchipuram,https://collegedunia.com/college/28254-srm-engineering-college-kanchipuram
9,SSN College of Engineering - [SSNCE],Chennai,https://collegedunia.com/college/14867-ssn-college-of-engineering-ssnce-chennai
10,SASTRA University,Thanjavur,https://collegedunia.com/university/25895-sastra-university-thanjavur
11,Manipal Institute of Technology - [MIT],Manipal,https://collegedunia.com/college/14265-manipal-institute-of-technology-mit-manipal
12,P.S.G College of Technology - [PSGCT],Coimbatore,https://collegedunia.com/college/24312-psg-college-of-technology-psgct-coimbatore
13,Sathyabama Institute of Science and Technology,Chennai,https://collegedunia.com/university/25897-sathyabama-institute-of-science-and-technology-chennai
14,Kalinga Institute of Industrial Technology - [KIIT],Bhubaneswar,https://collegedunia.com/university/25760-kalinga-institute-of-industrial-technology-kiit-bhubaneswar
15,Siksha 'O' Anusandhan University - [SOA],Bhubaneswar,https://collegedunia.com/university/54827-siksha-o-anusandhan-university-soa-bhubaneswar
16,K L University - [KLU],Guntur,https://collegedunia.com/university/25362-k-l-university-klu-guntur
17,Kalasalingam Academy of Research and Education,Krishnankovil,https://collegedunia.com/university/25883-kalasalingam-academy-of-research-and-education-krishnankovil
18,R V College of Engineering - [RVCE],Bangalore,https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore
19,Ramaiah Institute of Technology - [RIT],Bangalore,https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore
20,International Institute of Information Technology - [IIIT-B],Bangalore,https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore
21,BMS College of Engineering - [BMSCE],Bangalore,https://collegedunia.com/college/5540-bms-college-of-engineering-bmsce-bangalore
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Coimbatore,https://collegedunia.com/university/25885-karunya-institute-of-technology-and-sciences-karunya-deemed-university-coimbatore
23,Kumaraguru College of Technology - [KCT],Coimbatore,https://collegedunia.com/college/14052-kumaraguru-college-of-technology-kct-coimbatore
24,Punjab Engineering College University of Technology - [PEC],Chandigarh,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh
25,Jaypee Institute of Information Technology University - [JIIT],Noida,https://collegedunia.com/university/25953-jaypee-institute-of-information-technology-university-jiit-noida
26,Indian Institute of Information Technology - [IIIT],Allahabad,https://collegedunia.com/university/25945-indian-institute-of-information-technology-iiit-allahabad
27,Dayalbagh Educational Institute Faculty of Engineering,Agra,https://collegedunia.com/college/28560-dayalbagh-educational-institute-faculty-of-engineering-agra
28,Mepco Schlenk Engineering College,Sivakasi,https://collegedunia.com/college/14325-mepco-schlenk-engineering-college-sivakasi
29,Sri Venkateswara University College of Engineering,Tirupati,https://collegedunia.com/college/57751-sri-venkateswara-university-college-of-engineering-tirupati
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Gandhinagar,https://collegedunia.com/university/25484-dhirubhai-ambani-institute-of-information-and-communication-technology-daiict-gandhinagar
31,Bharati Vidyapeeth Deemed University Pune,Pune,https://collegedunia.com/university/25688-bharati-vidyapeeth-deemed-university-pune-pune
32,Hindustan Institute of Technology and Science - [HITS],Chennai,https://collegedunia.com/university/25879-hindustan-institute-of-technology-and-science-hits-chennai
33,C. V. Raman Global University,Bhubaneswar,https://collegedunia.com/university/13147-c-v-raman-global-university-bhubaneswar
34,Sri Krishna College of Engineering and Technology - [SKCET],Coimbatore,https://collegedunia.com/college/15222-sri-krishna-college-of-engineering-and-technology-skcet-coimbatore
35,Kongu Engineering College - [KEC],Erode,https://collegedunia.com/college/14023-kongu-engineering-college-kec-erode
36,"Vignan's Foundation for Science, Technology, and Research",Guntur,https://collegedunia.com/university/25384-vignans-foundation-for-science-technology-and-research-guntur
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],Chennai,https://collegedunia.com/university/25870-bs-abdur-rahman-crescent-institute-of-science-and-technology-bsau-chennai
38,Bannari Amman Institute of Technology - [BIT],Sathyamangalam,https://collegedunia.com/college/12991-bannari-amman-institute-of-technology-bit-sathyamangalam
39,Institute of Engineering and Management - [IEM],Kolkata,https://collegedunia.com/college/13834-institute-of-engineering-and-management-iem-kolkata
40,Sona College of Technology,Salem,https://collegedunia.com/college/15174-sona-college-of-technology-salem
41,Jain University - [JU],Bangalore,https://collegedunia.com/university/25606-jain-university-ju-bangalore
42,Chaitanya Bharathi Institute of Technology - [CBIT],Hyderabad,https://collegedunia.com/college/13190-chaitanya-bharathi-institute-of-technology-cbit-hyderabad
43,New Horizon College of Engineering - [NHCE],Bangalore,https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore
44,Veermata Jijabai Technological Institute - [VJTI],Mumbai,https://collegedunia.com/college/28202-veermata-jijabai-technological-institute-vjti-mumbai
45,"JNTUK University College of Engineering, Kakinada",East Godavari,https://collegedunia.com/college/45700-jntuk-university-college-of-engineering-kakinada-east-godavari
46,"Graphic Era University, School of Engineering and Technology - [GEU]",Dehradun,https://collegedunia.com/college/57256-graphic-era-university-school-of-engineering-and-technology-geu-dehradun
47,K. J. Somaiya College of Engineering - [KJSCE],Mumbai,https://collegedunia.com/college/13916-k-j-somaiya-college-of-engineering-kjsce-mumbai
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur",Nagpur,https://collegedunia.com/college/13492-gh-raisoni-college-of-engineering-ghrce-nagpur-nagpur
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],Mumbai,https://collegedunia.com/college/14374-mukesh-patel-school-of-technology-management-and-engineering-mpstme-mumbai
50,Sardar Patel Institute of Technology - [SPIT],Mumbai,https://collegedunia.com/college/14948-sardar-patel-institute-of-technology-spit-mumbai
