Serial No.,College Name,Info
1,BITS Pilani (Pilani Campus),"I lived on campus itself. Hostels are categorized into the following - AH (1-10), DH (1-9), CH (1-6) for girls. We also have washing machines in the hostel. Even though each room is not air conditioned, the common room has a TV, TT table and multiple ACs which student can use anytime post 5 PM. Mess food is better than most engineering colleges and there are several other food outlets"
1,BITS Pilani (Pilani Campus),"Hostel rooms for first year students are double occupancy. 2nd year onwards, single rooms are alloted. The rooms are fairly clean. On time service is provided in case of any electrical or other issues. The mess food is average amd can be improved."
1,BITS Pilani (Pilani Campus),"The hostels are huge in size with some of them housing about 600 people. The rooms are also mostly good in size and each room contains a whiteboard, table, chair and bed cot. The meals are decent in the mess and there are sufficient outlets inside the campus too. Hostel and Mess is compulsory for everyone and together they cost about 40000 a sem."
1,BITS Pilani (Pilani Campus),Hostels are fabulous. Bathrooms are clean. Hygiene is taken care. Hot water available 24/7. Electricity and water available 24/7. High speed wifi available in every room. Mess food is really good and nutritious.
1,BITS Pilani (Pilani Campus),"The hsotel facility is ver affordable. With about 20k per semeter. Hostel rooms have a fan and personal coolers are allowed. Every hostel has a common room which has AC and students can go to sit over there. The rooms have a whiteboard, bed, study desk and chair. Washrooms are common for all students and water coolers are located at every small distance. The mess is located near to the hostel and serves Breakfast, lunch and dinner. The menu is decided by students socienty of mess service and has a variety of dishes. With drinks, non veg, paneer, Chinese food, pasta, chole bhature and sweets also."
2,Institute of Chemical Technology - [ICT],"Mess food is decent and sometimes good. The registration process is very smooth And very affordable hostels, despite being in south Bombay it is only 2.5k per month for room and 3k for food per month. All staff are friendly."
2,Institute of Chemical Technology - [ICT],"I live in the college hostel, and the facilities provided are quite good. The rooms are spacious, and each student gets a separate bed, study table, and a cupboard. The meal quality is decent, and the mess serves a variety of dishes. The registration for the hostel was straightforward, and the fees are quite affordable compared to living in rented accommodation outside. The hostel also provides facilities like washing machines and 24-hour security. Overall, living in the college hostel has been a comfortable and convenient experience for me."
2,Institute of Chemical Technology - [ICT],"On the college campus total of 4 hostels are Available and if students are 80km away from college and if students are outside of Mumbai then they definitely get hostel accommodation almost everyone needed student get a hostel in one room 3 students adjust all student get their desk, bed, and locker and if a student wants to rent pg then yes it's very very expensive because college is in New Mumbai. Meal quality in college very very good and the menu is not decided also they provided non-veg two times in a week and Quantity is enough also if a student wants an extra meal like egg, banana in breakfast then student have to pay."
2,Institute of Chemical Technology - [ICT],There are two types of rooms in ict 2 seater or 3 seater rooms are ok and very clean.Mess of pg students gives an average meal however breakfast is good generally also there are two college canteens which provide good meals
2,Institute of Chemical Technology - [ICT],My hostel is a government hostel and fees was 2000 per month. 4 members was shared a one room. Room was little big. Registration fees was 8000. My hostel in tharamani near my college campus.
3,Vellore Institute of Technology - [VIT University],The rooms are good and all types of rooms are present and thus student get a huge variety. The room are good for accomdation but can be a bit expensive as per the characteristic they have thus people tend to choose 4 bedded room instead of single
3,Vellore Institute of Technology - [VIT University],"Desk, bed and wardrobe are provided, mess food can be good or bad depending on your mess supplier and the rooms are decent. 2 and 3 bed rooms are cramped to fit more students which is annoying. Also rules dont allow you to have kettle or iron box in the room which I find very inconvenient."
3,Vellore Institute of Technology - [VIT University],Ac is there wifi is there there are 2 bed 3 bed 4bed and 7 bed options both ac and non ac then there are there kind of mess facilities veg non veg special i live in the hostel in 2 bed occupancy..i have opted for the ac room with veg mess
3,Vellore Institute of Technology - [VIT University],All the four years I opted the hostel facility from the college itself. There are mainly AC and non AC options both the available for your one bed two bed three bed for bed 6 bed 8 bed sharing room options for both boys and girls. There are as many as 26 boys hostel currently running and to new buildings are in under construction and for girls there are 8 girls hostel and one building and construction
3,Vellore Institute of Technology - [VIT University],So hostel facilities are very good but the problem is sometimes Wi-Fi problem it is not a good up to we need the speeds like up to 10 MBPS they provide and the college facilities and each and everything is very nice and the toilets and the rooms are clean everyday by the maid and the food is very good of the hostel so highly recommended go for the hostel because it's a lifetime memory
4,Thapar Institute of Engineering and Technology - [Thapar University],The hostels are decent. The 1st year hostels are livable but the hostels from 2nd year onwards are great. The M hostel is just WOW. The food is handeled by sudexo or by thapar internal committee. The food quality and quantity is great The hostels are even better if you are a girl. We have hostel night once every semester to enjoy with our room mates and with friends.
4,Thapar Institute of Engineering and Technology - [Thapar University],"hostel for first years is not at top level but are very nice , but from 2nd years onwards wew get hostels on par with hotels , its like 4 star hotels you live in with all types of facalities ,from washing cloaths to dinoing and night canteen."
4,Thapar Institute of Engineering and Technology - [Thapar University],"The institute offers 13 hostels- 8 for boys and 5 for girls- equipped with essential amenities such as water collers, gym, TV room, AC reading room, Table Tennis room, night canteen, RO drinking water, geysers in all bathrooms, indoor gaming facilities, lawns and Wi-Fi access."
4,Thapar Institute of Engineering and Technology - [Thapar University],The hostels are a recommendation for thapar. The rooms are here ac and non ac both. In some hostels there are rooms with attached washroom. The mess menu is changed frequently by the mess commitee. The prices vary 65000 to 114000 per semester this includes the mess fee as well as all the maintaining fees.
4,Thapar Institute of Engineering and Technology - [Thapar University],The hostel room are provided with ac. My room is a 2 bed room attached washroom shared between two rooms and laundery is free and gym is equipped with almost all equipment of high quality. There are camera on all the floors.
5,Indian Institute of Space Science and Technology - [IIST],"There is occupancy of 3 people in a single room Rooms are of decent sizes you don't feel conjusted you will get you own almirah, side table, study tablen, bed, food is also healthy and gives variety weekly"
5,Indian Institute of Space Science and Technology - [IIST],The hostel rooms are quite basic. The mainly contain a bed a cupboard a side table and a study table. Plugs are provided near every study table. The Institute is strictly residential so you can reside outside the institute you have to use the college hostel. Also the college hostel is quite affordable with 30000 per annum with food included. The food is quite basic also as one mess is present in campus the menu is maintained to suit both South and North Indian taste.
