Serial No.,College Name,Info Data
1,BITS Pilani (Pilani Campus),"BITS Pilani or the Birla Institute of Technology and Science is a private deemed university established in 1964 in Rajasthan over a campus area of 328 acres. BITS Pilani is well known for its engineering courses and ranks 25th under NIRF ranking 2023 for Engineering and 3rd for Pharmacy. The institute is NAAC accredited with an ‘A’ Grade. It is one of the first six institutes in India to be granted “Institute of Eminence” status by the Ministry of Education. The BITS Pilani campus is the oldest among the other campuses of Birla Institute of Technology and Science located in Goa, Hyderabad, and Dubai."
2,Institute of Chemical Technology - [ICT],"Institute of Chemical Technology, Mumbai (ICT Mumbai) previously known as the University Department of Chemical Technology (UDCT) was established in 1933 with the support of multiple industries. It was declared a Deemed-to-be-University by the Ministry of Human Resource Development (MHRD), Govt. of India. Further, the institute has been graded with A++ grade. As per the NIRF Ranking 2024, ICT Mumbai has been ranked 24th & 5th under the engineering & pharmacy category respectively. The courses offered at ICT Mumbai are approved by the (NBA)."
3,Vellore Institute of Technology - [VIT University],"VIT Vellore (Vellore Institute of Technology) is a premier private university located in Vellore, Tamil Nadu, India. Established in 1984 by Dr. G. Viswanathan, it has grown into one of the top engineering institutions in the country, known for its high academic standards, state-of-the-art infrastructure, and emphasis on research and innovation.| VIT Vellore offers a wide range of undergraduate, postgraduate, and doctoral programs in engineering, science, management, and humanities. The university is particularly recognized for its B.Tech programs, which attract students from across India and various other countries. The institution is accredited by prestigious organizations, ensuring high-quality education and global recognition.| The campus boasts modern facilities, including advanced laboratories, libraries, hostels, sports complexes, and student activity centers. VIT is also known for its annual technical and cultural fest, Riviera, and its placement record, which consistently ranks among the best in the country. The university's international collaboration with other academic institutions and its focus on fostering innovation through initiatives like the Technology Business Incubator further highlight its commitment to excellence."
4,Thapar Institute of Engineering and Technology - [Thapar University],"Thapar Institute of Engineering and Technology (TIET), formerly known as Thapar University, is a private Deemed-to-be University established in 1956 in Patiala, Punjab. Thapar University is a top-ranked innovation-driven university accredited with an 'A+' Grade by NAAC. It has been ranked 22nd among all Private and Government Universities in India by NIRF Ranking 2023. The university is also ranked 40th in the Overall Category, 20th in Engineering, 49th in Management, and 34th in Research by NIRF 2023."
5,Indian Institute of Space Science and Technology - [IIST],"Indian Institute of Space Science and Technology (IIST) lso known as IIST Trivandrum, is situated in Thiruvananthapuram, Kerala. It is a Deemed to be University under Section 3 of the UGC Act, 1956. IIST was established in year 2007 which functions as an autonomous institution under the Department of Space (DoS), Government of India. As per the NIRF Ranking 2023, IIST Trivandrum has been ranked at 48th position in the engineering category."
6,Birla Institute of Technology - [BIT Mesra],"BIT Mesra is one of the top technical Universities of Jharkhand. The university has been granted the ‘deemed university’ status and is located 16 Kms from Ranchi. The institution is known for its diversity where almost 58% of students are from various other Indian states. BIT Mesra's flagship course is BTech and JEE Main score is accepted for admission to the program. The BTech program is offered in 10 specializations with a 990-seat intake. JoSAA releases the JEE Main cutoff for admission in 2 categories i.e. OS (Other State) and HS (Home State). The opening cutoff for BTech admission at BIT Mesra is 13887(OS). The cutoff for all depends on seat availability and the popularity of the program. The total fee for the BTech program is 14.51 Lakhs and the average package offered at BIT Mesra is INR 11.57 LPA. The top recruiters of BIT Mesra include Deloitte, ICICI Bank, Cognizant, Flipkart, etc."
7,Amity University,"Established in 2005, Amity University Noida is Asia’s only Not-for-profit university to get US regional accreditation. Amity Noida has 9 universities, 150+ institutions & centers, 13+ international/ overseas campuses, 13 B-Schools, and 26 schools and pre-schools. Amity Noida is recognised by UGC and approved by AICTE. Amity is accredited with an “A+” Grade by NAAC. The University ranked amongst the Top 3% Universities Globally by The Higher Education. Amity University is a member of AIU, ACU and the International Association of Universities and is recognised by statutory bodies like the and the . The institute is certified by and the UK’s Quality Assurance Agency in Higher Education."
8,SRM Engineering College,"SRM (Sri Ramaswamy Memorial University) Engineering College is constituent of SRM University. SRM University is a co-educational private university founded in 1985 as SRM Engineering College. The institute gained deemed status in 2002 & was renamed to SRM Institute of Science and Technology. It turned into SRM University in 2006, when it achieved the status of a fully-developed university, under section 3 of the UGC Act 1956."
9,SSN College of Engineering - [SSNCE],"Sri Sivasubramaniya Nadar (SSE) College of Engineering, spread over a sprawling 227 acres is an autonomous institution affiliated with Anna University. Established in 1996 in Chennai, Tamil Nadu the college has also been approved by AICTE. SSN College of Engineering ranked 80 out of 200 colleges in India in the Overall category and 45th in the Engineering category in 2023. The college is NAAC accredited with an A++ grade."
10,SASTRA University,"Shanmugha Arts, Science, Technology & Research Academy, popularly known as SASTRA University, is a Private Deemed-to-be-University in Thanjavur, Tamil Nadu. SASTRA University is one of the premier higher education institutions in India offering undergraduate, postgraduate, and doctoral programs in Engineering, Management, Law, Sciences, Humanities, and Education. Established in the year 1984, the university is also recognized as a Scientific & Industrial Research Organization by the Government of India. SASTRA University has been re-accredited by NAAC with a maximum grade of ‘’."
