Serial No.,College Name,Company,Package,Job Roles,Headings
1,BITS Pilani (Pilani Campus),AB InBev,23.5 LPA,Statistics,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Accenture,20 LPA,Trainee Software developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Accenture Strategy and Consulting,15.92 LPA,MC Delivery Associate,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Achieve.ai,22 LPA,Associate Business Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Alphagrep,25 LPA,"Associate, Founder's Office","Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Amplus Solar,10.3 LPA,Data Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Anakin,9 LPA,Founder's Office,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Anakin (YC S21),8-9 LPA,Business Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Bain Capability,14 LPA,Management Consultant,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Bajaj Finserv,18 LPA,Content Marketing Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),BCG,23 LPA,Associate Software Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),BioUrja,14 LPA,Data science,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Bisquare,8-15 LPA,IOT and Cloud Services,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Bitespeed,30 LPA,Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Blenheim Chalcot,12 LPA,"Data Engineer, Data Science","Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Bosch Rexroth,7.5 LPA,Technical Management Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Brane Enterprises,19 LPA,Associate Process Leader Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Cadence,19.5 LPA,High Speed IP Validation,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Coinswitch,23 LPA,Graduate Engineering Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Collegedunia,7.5 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Exide Energy,10 LPA,GET,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Fischer Jordan,22 LPA,Data Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),FRND,15 LPA,Business Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),GAN Studio,36 LPA,Deep Learning Engineer Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Assistant Manager- Cybersecurity,"CS,EEE,ENI",No data found,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Global Technology,9-12 LPA,Client Acquisition Manager,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Groww,30 LPA,Associate Product Manager,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),GSF India,75k + 50k bonus,Investment Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Headout,23 LPA,Software Developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Hike,31 LPA,"Associate, Dounder's office","Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Honeywell,8-9 LPA,Chemical Software Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),INDmoney,15 LPA,SDE,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Indus Insights,14 LPA,FPGA Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),InfoBell,10 LPA,Linux Developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Infosys,13 LPA,Specialist Programmer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Insighto.ai,10 LPA,Marketing Associate,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),KLA,18 LPA,Consulting,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Kreative Kode,19 LPA,Business and Strategy Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Landmark Group,124200 AED p.a.,Business Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Leadsquared,8-10 LPA,Solutions Consultant,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Legistify,8 LPA,Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Lifesciences Consultants,7.5 LPA,Research Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Lumenci,10 LPA,Associate Consultant,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Luminous Power,12 LPA,Senior Product Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Material Depot,16 LPA,Growth Marketing,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Media.Net,21 LPA,Data Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Mindgate solutions,20 LPA,Backend Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Navi Technologies,41 LPA.,Product engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),NBC Bearings,7.5 LPA,GET,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Ola Cabs,25 LPA,Software ( ML Engineer),"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Ola Labs,30 LPA,Data scientist,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),OneBanc,8-10 LPA,Module Owner,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Oracle,34 LPA,Backend Developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Orient Electric,9 LPA,GET,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Palo Alto,52 LPA,Quant Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
