Serial No.,College Name,Question,Answer
1,BITS Pilani (Pilani Campus),What are some bitter truths about life at IIT/BITS Pilani?,"Here are a few bitter truths about life at BITS Pilani and IITs in general that many are not known to 
The faculty no doubt is one of the best but they are more qualified in research work than in teaching.
The girl-to-boy ratio at IITs and BITS Pilani is deteriorating rapidly.
IIT students stay awake most part of the night and sleep early morning around 5 thus disturbing their sleep cycle tremendously.
The average IQ of IIT students is higher than people of the rest of the world yet the output is not particularly high
The attendance policy is a major hurdle here and even students with decent marks get detained.
The food served in the mess is hardly edible 
The highest package rarely reaches the CPA mark and if it does, it's usually an international package where the in-hand salary is much less.
Despite it all, IITs and BITS have excellent placement scenarios because the recruiting companies are well aware that these students will commit to work more than their capacity and thus prefer IITians over other people."
1,BITS Pilani (Pilani Campus),How much is the total fee of BITS Pilani per annum for a B.E. course?,"Yes, BITS Pilani is very costly and a student from a middle-class family may not afford the hefty fees here. The semester fee at BITS Pilani for integrated courses and higher degree courses is Rs 2,31,500 for the first and second semesters. This roughly amounts to double the fees of IITs. 
However, when you become a part of the BITS family, you will realize that every penny you spent was worth it. BITS does not charge fees for themselves, rather the high fees are reflected in the top-notch infrastructure, lab facilities, and huge campuses. Moreover, they are not funded by the government so they have no option but to charge high fees to maintain their standards. 
So if you failed to make it to the top IITs, go for BITS Pilani, it will not disappoint you. Just consider the high fees as a long-term investment that will fetch you good returns."
1,BITS Pilani (Pilani Campus),Is BITS Pilani very costly?,"BITS WILP is a two-year postgraduate level course, in which 15 specializations are offered by the university. It is a degree course that is completed mainly on weekends to enable students and professionals to gain a full-time degree course while continuing their professional pursuits.
Pros
You get associated with the BITS tag
You can do your PG alongside working
The course is rather easy and with the right dedication you can complete it in 2 yrs.
The syllabus is the same for both on and off-campus students
Cons
You won’t be able to sit for PG campus recruitment
Not many companies consider this degree valuable and thus makes it is difficult to land a job.
The admission criteria are rather flexible thus the peer pool is not very filtered.
Most of the subjects are from bachelors and lack relevance and rigor
There is no visible difference in the knowledge base of the students.
The classes are not conducted by the original BITS faculty.
In all, I think the cons overshadow the pros and don’t deem this course a very wise decision."
1,BITS Pilani (Pilani Campus),What is your review of BITS Pilani WILP?Does it consider to get lecturer job?,"There are many reasons why someone might choose BITS Pilani over IIT. Some potential factors could include:
Zero Reservation policy: The students are selected solely on the basis of merit and there is no reservation policy. Hence, every student has earned his seat proudly by his own efforts. 
Zero Attendance Policy: Another great aspect here is the zero attendance policy requiring students to skip classes at their own will. This ensures the students' own willingness to attend classes. Additionally, the lecture slides and Video lectures are uploaded on the BITS website.
Location: Away from the hustle and bustle of city life, BITS Pilani is located in a peaceful area with minimal life outside the campus. The students thus spend more time with each other strengthening the junior-seniors bonds even better.
Collaborations: BITS Pilani has many collaborations with foreign universities and follows a well-updated curriculum at par with global standards.
Timetable: The students of BITS are at complete freedom to decide their own teachers, time slots, and breaks. They are under no compulsion to follow a fixed schedule.
Dual Degree Program: Another major perk of BITE is its dual degree program that allows students to do an MSC + Btech degree.
Ultimately, the choice between BITS Pilani and IIT will depend on an individual's personal preferences and priorities."
1,BITS Pilani (Pilani Campus),Which college is better: IIT or BITS Pilani ?,"No, I don’t think BITS Pilani is overrated in any way. In fact, it deserves the hype it gets because of its standard of education and the opportunities it offers. 
BITS is certainly comparable to IITs in terms of academics and faculty. It only seems a bit lacking in terms of research although it has been improving gradually.
BITS tag makes it easier to secure a Master’s in foreign universities. The average GRE score for a BITSian is around 330/340. Thus portrays the excellent English-speaking culture of BITS.
Being a part of the BITS family gives you access to its elaborate alumni network. Its alumni are working successfully across the globe and can be found everywhere be it the UK, US, Germany, France, or Singapore.
BITS Pilani Practice School is a compulsory graduation requirement for all students that comprises Practice School I and Practice School II. Practice School I is an internship of 2 months for students at the end of their 2nd year and Practice School II is an internship of an entire semester, around 5 -5.5 months either in the odd semester or the even semester in the final year. 
We can safely conclude that BITS Pilani is nowhere overrated and it certainly deserves all the hype."
2,Institute of Chemical Technology - [ICT],What is the expected cutoff (JEE Mains) for ICT Mumbai?,"Institute of Chemical Technology, Mumbai (ICT Mumbai)offers admission to Btech in eight specializations with an overall intake of 136. The admission is based on JEE Mains and MHT CET. The required cutoff changes each year. You can go through the previous year’s cutoff to get an idea of what to expect.
Cutoff (JEE Mains):
Given below is the JEE Main cutoff for 2019.
Subjects
Round 1
Round 2
Round 3
Chemical engineering
196
583
429
Food engineering
737
776
1278
Pharmaceuticals Chemistry and Technology
770
1063
966
Plastic and polymer engineering
844
1231
1063
Surface coating technology
1647
1854
Dyestuff and Intermediates Technology
1997
2320
2938
Fibres and textiles processing technology
2784
2948
1801
For admission to B.Tech, the candidates need to pass 10+2 with Physics, Chemistry, and Mathematics with a minimum of 50% marks in aggregate."
3,Vellore Institute of Technology - [VIT University],How good is VIT Chennai?,"One of my friends graduated from VIT Chennai with a Mechanical Engineering major last year. It is one of the best colleges in Chennai and offers good placement opportunities for the students.
Infrastructure:
VIT Chennai has a stellar 192-acre campus. It comprises all facilities a student would need. 
There are two academic blocks, auditoriums, conference halls, smart classrooms, and well-equipped general amenities. 
The campus also boasts of state-of-the-art sports facilities and gyms. 
Academics and Facilities:
When it comes to academics the college boasts of top-notch faculties and facilities. 
The campus is well equipped with lab facilities for all the departments to explore your field of study. 
The faculties are well qualified and have years of experience in teaching. 
Teaching Methodology:
The teaching style followed by most of the faculty is the presentation method. Only a few faculties teach by following books. 
The college follows the Fully Flexible Credit System that allows students to choose their own courses along with the faculties. 
CAT 1, CAT 2, and FAT are the 3 divisions of semester examinations. The institute follows an open book examination system.
The students need to do projects for each and every subject in all the semesters. This helps the student with a better understanding of concepts.
Hostels:
There are 4 hostels in VIT Chennai 2 separate hostels each for boys and girls. The hostel provides 2 & 3 Bedded accommodation for the students. 
The hostel also boasts of State-of-the-art Gym and Indoor games. 
There are four messes that provide North Indian Veg, North Indian Non- Veg, South Indian foods. The fourth mess provides juices, milkshakes, etc. 
For boys, the hostel time is 9.30 p.m.- 10 p.m. and for girls, in time is 7 p.m.
Placements:
Placements are great in VIT Chennai as the college has the reputation of providing placements for nearly all the students. 
For 2019-20 a total of 713 companies came for recruitment and a total of 7771 offers were made. The students have the opportunity of bagging dream packages in core companies as well. 
The highest package offered was 39 lakhs and the average package was 6.5 lakhs.
The competition in placement is fierce. Some recruiting companies choose 2 or 3 students out of 1000 applicants. Even if you have a good academic record, you have to do well in the placement to secure a job. 
VIT Chennai will provide you access to top-quality education and will ensure you succeed in it. It is definitely one of the best places to do your graduation from."
4,Thapar Institute of Engineering and Technology - [Thapar University],How is Thapar University?,"Thapar University was established in 1956. When it was a young institution, it ranked among the top 20 universities/colleges in India, and its students achieved great heights. Even today, many students from this University do immensely well and bring honor to it. 
This institution has a long-standing reputation and its alumni work in top MNCs as well as are part of the Indian Civil Services. Some of the top companies where its alumni are presently working include- Apple, Google, Facebook, Microsoft, Amazon, Adobe, Twitter, Cisco, Uber, VMWare etc.
Even though Thapar University is still a brand name, newly opened institutions like DAIICT, BITS Goa, BITS Hyd, etc. are outperforming it significantly. The university has seen a significant decline in its glorious days in the past. This is because since 2008, due to its owner’s financial constraints, the crowd quality has declined and things have become more money-driven. There are few hikes every year. Unlike before, there are around 1300-1500 students on campus in the present times.
Thus, Thapar University has fallen down from its days of glory and significant steps need to be taken to revive its lost glory."
4,Thapar Institute of Engineering and Technology - [Thapar University],"How much is the fees of Thapar University for a 4 years BTech programme, including all hostel fees, etc.?","Thapar University has a brand name, however, the ground reality for this university is not very pleasant and it is swiftly losing the qualities that defined it in its glorious past. The rankings of students enrolled in the university are going down each year. The administration is taking serious measures against the same, however, because of these measures the other students are suffering. One example is the strict entry and exit timings. 
Academically, your experience in this institution will differ according to your branch. The CSE branch has a cooperative faculty and lenient attendance criteria. This is not the case for other branches. In other branches, some faculty members may hold personal grudges against you while some may fail you for missing the required attendance mark (75%) by as small as 0.1%. The mess is below average and the classrooms are not very impressive.  The administration is very slow. 
However, there are positive points about Thapar University as well. The alumni from Thapar are placed in some of the best companies in India and abroad. It has some of the best synthetic courts in any engineering college in India. There are many teachers at Thapar University who serve as a source of inspiration to their students. Sports facilities for all the major sports are great. Placements at Thapar University are great and the labs are well updated. Even though Thapar is facing a drug problem, its teachers and administration are very active in trying to solve this issue.
Thus, even though Thapar University has outlived its glorious days, it has some positive points too. It is completely your choice whether or not you wish to take admission into it."
4,Thapar Institute of Engineering and Technology - [Thapar University],How are the Computer Science placements at THAPAR UNIVERSITY?,"I am an alumnus of Thapar University. Back when I was a student, Dr. V.P. Aggarwal was one of the best teachers at Thapar.
Back in 2014, sir used to teach us KOM (Kinematics of Machines - UME 302). I would usually arrive late for all my lectures, and sit for them with almost no interest. But one of sir’s classes truly inspired me and changed my perspective on life. 
Our ESTs were nearing, and so those days very few students attended classes. Sir was teaching us a topic and at the end, he asked us for our doubts. All of us were sitting in a disinterested manner, almost as if forced to attend the lectures. This was when sir told us that he had come back to the university at 4 in the morning, straight from Jabalpur. 
He had come back specifically for our class. When we asked him why he took so much pain for a single class, he replied that it was duty to teach his students. He said he would have felt restless with the thought that maybe some student had a query that day which couldn’t be solved because of his absence.
He told us that for him duty was above everything else. He wanted all his students to work hard and stay motivated. That day changed my perspective on life, and made me realize the importance of hardwork.
This is why, for me, sir is one of the best teachers whom I studied under at Thapar University."
