Serial No.,College Name,Ranking Agency,Year,Rank
1,BITS Pilani (Pilani Campus),QS Asian University Ranking - Southern Asia,2024,29
1,BITS Pilani (Pilani Campus),QS Asian University Ranking,2024,188
1,BITS Pilani (Pilani Campus),QS WUR Ranking by Subject,2024,501-550
1,BITS Pilani (Pilani Campus),QS World University Ranking (Global),2024,951-1000
1,BITS Pilani (Pilani Campus),NIRF Pharmacy Ranking,2023,03
1,BITS Pilani (Pilani Campus),NIRF Engineering Ranking,2023,25
1,BITS Pilani (Pilani Campus),NIRF Overall Ranking,2023,25
1,BITS Pilani (Pilani Campus),NIRF University Ranking,2023,20
1,BITS Pilani (Pilani Campus),NIRF Research Ranking,2023,26
1,BITS Pilani (Pilani Campus),QS World University Ranking by subject (Engineering and Technology),2023,344
1,BITS Pilani (Pilani Campus),QS World University Ranking,2023,1001-1200
1,BITS Pilani (Pilani Campus),QS World University Rankings,2022,1001-1200
1,BITS Pilani (Pilani Campus),THE World University Rankings,2022,801-1000
2,Institute of Chemical Technology - [ICT],ARIIA (State & Deemed University),2021,6
2,Institute of Chemical Technology - [ICT],NIRF Engineering Category,2022,#18
2,Institute of Chemical Technology - [ICT],NIRF Universities Category,No data found,#14
2,Institute of Chemical Technology - [ICT],NIRF Overall Category,No data found,#28
2,Institute of Chemical Technology - [ICT],Outlook I-CARE Ranking,2019,#5 out ofthe top 50
2,Institute of Chemical Technology - [ICT],QS Asian Universities,2020,#152
2,Institute of Chemical Technology - [ICT],QS Indian Universities,No data found,#22
2,Institute of Chemical Technology - [ICT],QS WUR Subject-wise Rankings,No data found,#101-150 in Engineering-Chemical #251-300 in Pharmacy and Pharmacology #301-350 in Chemistry
2,Institute of Chemical Technology - [ICT],QS BRICS Rankings,2019,#115
2,Institute of Chemical Technology - [ICT],THE Asia Universities,2020,#92
2,Institute of Chemical Technology - [ICT],THE Emerging Economies Universities,No data found,#73
2,Institute of Chemical Technology - [ICT],THE Subject Wise Rankings,No data found,#401-500 in Engineering and Technology #501-600 in Physical Sciences
2,Institute of Chemical Technology - [ICT],THE World University Rankings,No data found,#501-600
3,Vellore Institute of Technology - [VIT University],NIRF (Overall),2023,17
3,Vellore Institute of Technology - [VIT University],NIRF (Universities),2023,8
3,Vellore Institute of Technology - [VIT University],QS World University Ranking by subject (Engineering and Technology),2023,240
3,Vellore Institute of Technology - [VIT University],QS World University Ranking,2023,1001-1200
3,Vellore Institute of Technology - [VIT University],QS Asia Rankings,2023,173
3,Vellore Institute of Technology - [VIT University],THE World University Ranking,2023,801-1000
3,Vellore Institute of Technology - [VIT University],Outlook India's Top Pvt. Engineering Colleges,2022,1
4,Thapar Institute of Engineering and Technology - [Thapar University],NIRF,2023,40 (Overall)|22 (University)|20 (Engineering)|49 (Management)|34 (Research)
4,Thapar Institute of Engineering and Technology - [Thapar University],QS World University Ranking,2023,1001-1200
4,Thapar Institute of Engineering and Technology - [Thapar University],THE World University Rankings,2022,501-600
4,Thapar Institute of Engineering and Technology - [Thapar University],THE Asia University Rankings,2022,127
4,Thapar Institute of Engineering and Technology - [Thapar University],THE Engineering and Technology,2022,401-500
4,Thapar Institute of Engineering and Technology - [Thapar University],NIRF,2022,57 (Overall)|31 (University)|28 (Engineering)|53 (Management)
4,Thapar Institute of Engineering and Technology - [Thapar University],NIRF,2021,45 (Overall)|26 (University)|23 (Engineering)|42 (Management)
4,Thapar Institute of Engineering and Technology - [Thapar University],THE World University Ranking,2021,601 - 800
4,Thapar Institute of Engineering and Technology - [Thapar University],THE Asian Universities,2021,144
4,Thapar Institute of Engineering and Technology - [Thapar University],THE Impact Universities,2021,401-600
4,Thapar Institute of Engineering and Technology - [Thapar University],QS World University Ranking,2021,1001-1200
4,Thapar Institute of Engineering and Technology - [Thapar University],QS World University Ranking by Subject,2021,551-600
4,Thapar Institute of Engineering and Technology - [Thapar University],QS Asian University,2021,251-260
5,Indian Institute of Space Science and Technology - [IIST],Overall,2024 Ranking,#101-150|  out of 200 in  |India 2024|#5th in Kerala
5,Indian Institute of Space Science and Technology - [IIST],Overall,2023 Ranking,-
5,Indian Institute of Space Science and Technology - [IIST],Overall,2022 Ranking,-
5,Indian Institute of Space Science and Technology - [IIST],B.Tech,2024 Ranking,#51|  out of 300 in  |India 2024|#2nd in Kerala
5,Indian Institute of Space Science and Technology - [IIST],B.Tech,2023 Ranking,#48|  out of 200 in  |India 2023|#2nd in Kerala
5,Indian Institute of Space Science and Technology - [IIST],B.Tech,2022 Ranking,#43|  out of 300 in  |India 2022|#2nd in Kerala
6,Birla Institute of Technology - [BIT Mesra],NIRF University Rankings,No data found,71
6,Birla Institute of Technology - [BIT Mesra],NIRF Engineering Rankings 2023,No data found,53
6,Birla Institute of Technology - [BIT Mesra],NIRF Management Rankings 2023,No data found,77
6,Birla Institute of Technology - [BIT Mesra],NIRF Architecture Ranking 2023,No data found,20
6,Birla Institute of Technology - [BIT Mesra],India Today (Top Public Colleges in India),No data found,156
6,Birla Institute of Technology - [BIT Mesra],India Today (BTech),No data found,3
6,Birla Institute of Technology - [BIT Mesra],The Week (BTech),No data found,18
6,Birla Institute of Technology - [BIT Mesra],Outlook (BTech),No data found,5
7,Amity University,NIRF 2023,No data found,57th (Overall)
7,Amity University,QS World University Rankings 2024,No data found,#1001-1200
7,Amity University,QS Asian University Rankings 2024,No data found,186
7,Amity University,NAAC,No data found,“A+” Ranking
8,SRM Engineering College,MBA,2019 Ranking,#13|  out of 120 in  |India 2019|#2nd in Tamil Nadu
9,SSN College of Engineering - [SSNCE],Overall,2024 Ranking,#81|  out of 200 in  |India 2024|#6th in Chennai
9,SSN College of Engineering - [SSNCE],Overall,2023 Ranking,#80|  out of 200 in  |India 2023|#6th in Chennai
9,SSN College of Engineering - [SSNCE],Overall,2022 Ranking,#96|  out of 200 in  |India 2022|#9th in Chennai
9,SSN College of Engineering - [SSNCE],B.Tech,2024 Ranking,#46|  out of 300 in  |India 2024|#4th in Chennai
9,SSN College of Engineering - [SSNCE],B.Tech,2023 Ranking,#45|  out of 200 in  |India 2023|#4th in Chennai
9,SSN College of Engineering - [SSNCE],B.Tech,2022 Ranking,#48|  out of 300 in  |India 2022|#4th in Chennai
10,SASTRA University,Overall,2024 Ranking,#47|  out of 200 in  |India 2024|#9th in Tamil Nadu
10,SASTRA University,Overall,2023 Ranking,#49|  out of 200 in  |India 2023|#10th in Tamil Nadu
10,SASTRA University,Overall,2022 Ranking,#49|  out of 200 in  |India 2022|#9th in Tamil Nadu
10,SASTRA University,B.Tech,2024 Ranking,#38|  out of 300 in  |India 2024|#8th in Tamil Nadu
10,SASTRA University,B.Tech,2023 Ranking,#34|  out of 200 in  |India 2023|#7th in Tamil Nadu
10,SASTRA University,B.Tech,2022 Ranking,#41|  out of 300 in  |India 2022|#8th in Tamil Nadu
10,SASTRA University,Law,2024 Ranking,#14|  out of 39 in  |India 2024|#2nd in Tamil Nadu
10,SASTRA University,Law,2023 Ranking,#15|  out of 30 in  |India 2023|#2nd in Tamil Nadu
10,SASTRA University,Law,2022 Ranking,#19|  out of 30 in  |India 2022|#2nd in Tamil Nadu
11,Manipal Institute of Technology - [MIT],Nirf 2023 Engineering Category,No data found,61
12,P.S.G College of Technology - [PSGCT],NIRF Engineering,63,2023
12,P.S.G College of Technology - [PSGCT],NIRF Management,89,2023
12,P.S.G College of Technology - [PSGCT],THE World University Rankings,1001+,2021
12,P.S.G College of Technology - [PSGCT],The Impact Ranking,1001+,2021
12,P.S.G College of Technology - [PSGCT],THE Asia University Rankings,401+,2021
12,P.S.G College of Technology - [PSGCT],Outlook,12,2021
12,P.S.G College of Technology - [PSGCT],The Week,30,2020
12,P.S.G College of Technology - [PSGCT],The Times Group,7,2020
12,P.S.G College of Technology - [PSGCT],India Today,30,2020
13,Sathyabama Institute of Science and Technology,Overall,2024 Ranking,#7|  out of 73 in  |India 2024
13,Sathyabama Institute of Science and Technology,Overall,2023 Ranking,#42|  out of 281 in  |India 2023|#1st in Chennai
13,Sathyabama Institute of Science and Technology,Overall,2022 Ranking,#7|  out of 62 in  |India 2022
13,Sathyabama Institute of Science and Technology,Architecture,2024 Ranking,#15|  out of 45 in  |India 2024|#1st in Tamil Nadu
13,Sathyabama Institute of Science and Technology,Architecture,2023 Ranking,#18|  out of 40 in  |India 2023|#2nd in Chennai
13,Sathyabama Institute of Science and Technology,Architecture,2022 Ranking,#16|  out of 41 in  |India 2022|#2nd in Chennai
13,Sathyabama Institute of Science and Technology,B.Tech,2024 Ranking,#40|  out of 284 in  |India 2024|#1st in Chennai
13,Sathyabama Institute of Science and Technology,B.Tech,2023 Ranking,#14|  out of 246 in  |India 2023
13,Sathyabama Institute of Science and Technology,B.Tech,2022 Ranking,#20|  out of 238 in  |India 2022
14,Kalinga Institute of Industrial Technology - [KIIT],"Teaching, Learning & Resources (TLR)",No data found,69.63
14,Kalinga Institute of Industrial Technology - [KIIT],Research and Professional Practice (RP),No data found,38.02
14,Kalinga Institute of Industrial Technology - [KIIT],Graduation Outcomes (GO),No data found,78.87
14,Kalinga Institute of Industrial Technology - [KIIT],Outreach and Inclusivity (OI),No data found,80.13
14,Kalinga Institute of Industrial Technology - [KIIT],Peer Perception,No data found,40.08
