Serial No.,College Name,Rating,Pros,Cons
1,BITS Pilani (Pilani Campus),4.4,"Faculties are very experienced, and talking about infrastructure so it's built on around 360 acres land and is very beautiful. | Sports culture is very good on campus along with two fests. | Faculties are very experienced, and talking about infrastructure so it's built on around 360 acres land and is very beautiful.",The biology in the second semester is horrible to study and remember | I really disliked that it is really difficult to get to campus as transport is very difficult.
2,Institute of Chemical Technology - [ICT],4.3,"That you can have the best technical knowledge, which helps in your technical interview. | Stipend is not mentioned, but experience can be gained through any internship if done with great effort and understanding. | That you can have the best technical knowledge, which helps in your technical interview.",The gender ratio is neither good nor bad. There are numerous extracurricular activities organized every academic year
3,Vellore Institute of Technology - [VIT University],4.1,I like the coding culture that is in my college is excellent. | Placement oppurtunity given by vit is very good where every student is guarenteed to get atleast one job in hand when leaving the campus. | University provides complete freedom for both boys and girls,The worst thing are the PDA guards a guy and girl can't walk sit together according to the college too conservative. | Worst part is we have to change class for every for every period like 45minutes
4,Thapar Institute of Engineering and Technology - [Thapar University],3.8,The college also provides sports facilities and students are very happy to be here | Socieites and clubs are one of the best part of any college. | The college also provides sports facilities and students are very happy to be here,"I hate 75 attendance criteria , this is very bad thing | There are lot of dogs roaming in the university which is annoying"
5,Indian Institute of Space Science and Technology - [IIST],4.2,"Avionics is in great demand in many IT and CS sectors, and I have a huge interest in avionics, which is why I opted for this branch. | The internship program of the college is very good, as the majority of my batch mates participated in an internship at ISRO. | Avionics is in great demand in many IT and CS sectors, and I have a huge interest in avionics, which is why I opted for this branch.","I did not need any assistance as every semester I received an assistantship from DoS. Therefore, I have not had to pay a single penny to IIST till now"
6,Birla Institute of Technology - [BIT Mesra],3.7,The library is quite impressive and contains lots of journals and books. | Weather of this place is the best one can think of | The library is quite impressive and contains lots of journals and books.,Management is very bad and always blames students for any problems. | Administration is very bad as it do not listens to anyone.
7,Amity University,4.0,The faculty is like a family and helps to solve the problems which are faced by the student so that they can give there best in the exam. | I like college faculty because excellent bond between students and teachers. | The faculty is like a family and helps to solve the problems which are faced by the student so that they can give there best in the exam.,They were not flexible and sometimes it used to be very difficult to take some time off of work and then take the exam | It gets very difficult to go from one department to another.
8,SRM Engineering College,3.7,This college is really good and i liked very much. best way yo enjoy college life,Nothing to be honest may be they can reduce their fees little bit
9,SSN College of Engineering - [SSNCE],4.1,"I have chosen this course at this college because I can pursue both the core side and the IT side based on my interest, and SSN is one of the best colleges that offers the highest placements in Chennai. | The college will provide you with funds if your project is innovative, and we have many mentors to guide the project and conduct research in the field of our choice. | I have chosen this course at this college because I can pursue both the core side and the IT side based on my interest, and SSN is one of the best colleges that offers the highest placements in Chennai.","There was no internship offered at that time, so we voluntarily went to a few companies and did small works, but didnt get any stipend for that. | If there is a positive response, I have to give it to the entire staff and labs. However, when it comes to negative feedback, the college management was very poor and the worst when it came to collecting fees and granting condonation."
10,SASTRA University,3.8,"And clubs and sports are very nice .and tech clubs also | Dress code is good as well ..for girls dupatta is must...noo jeans, t shirts, crop tops are allowed | And clubs and sports are very nice .and tech clubs also",The timing are not good there are noo holidays in this campus. | The syllabus are little bit difficult to study but however it is manageable
