Serial No.,College Name,Scholarship Info
1,BITS Pilani (Pilani Campus),"BITS Pilani offers numerous scholarships and assistance are offered to eligible students The principal highlights of the BITS Pilani scholarships are, Scholarships for Board Toppers Students, Scholarships for Merit in Qualifying Examination, Scholarships for Merit in BITSAT (BITS Online Admission Test), Scholarships for Merit in Competitive Examination, Scholarships for Sports Excellence, Scholarships for Merit Scholarship for continuing students, Scholarships for UAE Nationals, Scholarships for the Sudden bereavement of an earning member of the family, Scholarships for Physically Challenged Students, Scholarships for Sibling"
1,BITS Pilani (Pilani Campus),Know more about BITS PIlani
1,BITS Pilani (Pilani Campus),"The scholarships offered by BITS Pilani has been explored in this articles , please read below"
1,BITS Pilani (Pilani Campus),"Candidates who successfully completed the 12th grade from a recognized board, such as the General Secondary Education Certificate Exam of the Ministry of Education, United Arab Emirates, the CBSE-India, or any other State, National, or International Board, are exempt from paying tuition for the first semester."
1,BITS Pilani (Pilani Campus),The first-semester tuition price is waived for applicants who earned top marks on their qualifying examinations.
2,Institute of Chemical Technology - [ICT],"the fees structure is about 80k-85k for general student and for reserved students its about 12-15 k per year there are scholarships available but these are.merit based scholarships and financial help is provided to the students who need it by the college, or by the alumini's of the college"
2,Institute of Chemical Technology - [ICT],"Many private and govt scholarship opportunities are given to my college. You have to apply and prove to yourself that u are worthy or not. For example, reliance provides scholarships. They take a test and decide whom to give"
2,Institute of Chemical Technology - [ICT],"Fees hike is not that much. Scholarships are provided by various alumni. An internship for 3 months is provided. Also, the placement is really good here. The cost to study is not much compared to other iits and nits. The fee is also not so much, it is just 59000 per annum which is really okay as compare to other private colleges."
2,Institute of Chemical Technology - [ICT],"As a current student at ICT, Mumbai, the fee structure is affordable for a government college, with my fees being around 80,000 rupees per year as a general category student. I am currently availing the Maha government scholarship and the merit-cum-means scholarship, but I am not aware of any on-campus jobs with stipends. There are several scholarship opportunities available, including state and central government scholarships and private scholarships like the Asian Paints scholarship. The fee hike policy is nominal, and overall, the cost to study is reasonable."
2,Institute of Chemical Technology - [ICT],"The fees for the course is approx. Rs. 57000 per year. The students belonging to SC/ST and OBC communities, who are residents of Maharashtra are eligible for full fees scholarships by the Maharashtra government. Students also receive merit-cum-means scholarship opportunities from various eminent alumni of the institute."
3,Vellore Institute of Technology - [VIT University],Vellore Institute of Technology (VIT) offers numerous scholarships and endowment awards to support meritorious and needy students in order to assist them in pursuing their education. VIT Scholarships are given in the form of tuition fee waivers and cash rewards to deserving students. Students at VIT are also offered scholarships based on the rank scored in the VIT Engineering Entrance Exam (VITEEE) under the GV School Development Programme (GVSDP). Vellore Institute of Technology offers merit scholarships to class toppers and academically bright students and financial assistance to economically weaker students.
3,Vellore Institute of Technology - [VIT University],Here is a list of VIT Scholarships offered to the students:
3,Vellore Institute of Technology - [VIT University],"VIT also offers a 100% Fee Waiver for two toppers from government schools in rural areas under the STARS scheme. Fee Waiver under the STARS scheme academic and hostel facilities including basic medical expenses. Apart from the scholarships, the Vellore Institute of Technology also offers various Endowment Awards with cash rewards to deserving students."
3,Vellore Institute of Technology - [VIT University],Check More: VIT Vellore Admission 2023
3,Vellore Institute of Technology - [VIT University],"Vellore Institute of Technology offers the VITEEE Scholarship which is given under the ""GV School Development Programme (GVSDP)”. Toppers of the Central/ State Board along with rank holders in the VIT Engineering Entrance Exam (VITEEE) are given tuition fee waivers of up to 100% for up to four years. The table below shows the percentage of fee waiver according to the rank obtained by the candidate:"
4,Thapar Institute of Engineering and Technology - [Thapar University],Thapar University offers various merit and need-based scholarships to UG and PG students enrolled in all the programs offered by the university. Thapar University Scholarships are awarded either in the form of tuition fee waivers or direct money deposits. The various scholarships offered by Thapar University are listed below:
4,Thapar Institute of Engineering and Technology - [Thapar University],Thapar University Merit Scholarships will be provided to only those students who have cleared all the courses prescribed for the respective program in the year of consideration. Given below is brief information about Thapar University Scholarships for various courses.
4,Thapar Institute of Engineering and Technology - [Thapar University],Check More: Thapar University Admission 2023
4,Thapar Institute of Engineering and Technology - [Thapar University],Thapar Institute of Engineering and Technology offers Merit Scholarships to first-year UG students on the basis of All India Rank (AIR) in JEE Main 2023. Students pursuing B.Tech or B.E. at Thapar University can apply for the below-mentioned scholarships as per the criteria mentioned against each scholarship:
4,Thapar Institute of Engineering and Technology - [Thapar University],"TIET offers need-based scholarships to UG students pursuing BA, BBA, or B.Sc programs at the institute. Here are the Merit-Cum-Means Scholarships for UG Students at Thapar University:"
5,Indian Institute of Space Science and Technology - [IIST],"Total fee for the complete course is nearly 8 lakhs. It may increase in future. If you secured rank under 1000 in Jee adv, you get full fee waiver. Scholarship For SC, ST is also available according to annual income."
5,Indian Institute of Space Science and Technology - [IIST],Total Fees is 162000 I will get 84000 tution fee waiver according to the income based scholarship. Scholarship Scheme If Income is less than 1 lakh complete tution fee refund. If Income between 1-5 lakh 66% tution fee refund. National Scholarship portal scholarship are also available on top of these scholarships.
5,Indian Institute of Space Science and Technology - [IIST],"Per semester we have tution fees 62500 and in one year we have 2 semesters and we have hostel compalsary on an average there is 200000 per year rupees you have to pay including tution fees,hostel fees and mess fees."
5,Indian Institute of Space Science and Technology - [IIST],Per year fee for general category is 19500 Tution fee 125000 Campus Development Fee 1000 lnstitute & Library Deposit(Refundable) 5000 Alumni Fee * 500 Convocation cum Degree Fee * 2000 Computer Fee 750 lnternet Fee 250 Library Fee 1000 Examination Fee 500 Registration and Enrollment Fee 200 Association and Cultural Fee s00 Sports Facilitation Fee 2s0 Medical and lnsurance Fee 2000 Hostel & Mess Fee per semester Hostel Establishment Charges s000 Hostel Rent 3000 Electricity and Water Charges 750 Mess Semester(Advance) for 5 months 15000 Optional : Vacation Mess charge(per month) 3000 Tuition Fee (UR/EWS/OBC-NCL income limit >Rs. 5.0 Lakh p.a) : Rs.62500.00 b. Tuition Fee (UR/EWS/OBC-NCL income limit <= Rs. 5.0 Lakh p.a) : Rs. 20850.00 c. Tuition Fee (UR/EWS/OBC-NCL income limit
5,Indian Institute of Space Science and Technology - [IIST],"Total fees including tuition fees , hostel fees , mess and gym,sports etc. is Rs. 91700. Breakdown of this is as follows: Tuition fee: 62500 caution fee:5000 lab and internet fee: 1000 medical insurance fee: 2000 hostel fee: 8750 mess fee:15000 Tuition fee for income>5LPA= 62500 for income <5LPA= 20850 for income <1 LPA= NIL For SC/ST/PD= NIL"
6,Birla Institute of Technology - [BIT Mesra],"BIT Mesra offers scholarships to students to help them financially based on their merit and needs. A scholarship worth nearly 2.5 crores is available for the meritorious students admitted to the BTech and BArch programs. Also, candidates belonging to the reserved categories like SC, ST, PT, and OBC are rewarded scholarships from the Welfare Department, Government of Jharkhand, as per the norms of the government of Jharkhand. To be eligible for this scholarship, candidates must meet certain eligibility requirements as set by the Govt. of Jharkhand. Candidates can also refer to https://ekalyan.cgg.gov.in website for further details."
6,Birla Institute of Technology - [BIT Mesra],"BIT Mesra also offers assistantships to its candidates through multiple scholarship schemes like the BIT GP Birla Scholarship, Merit-cum-means scholarship, Merit scholarships on the basis of JEE Mains, and sudden demise of the earning of an earning member of the family. Mentioned below are the details of these scholarships for students’ reference:"
6,Birla Institute of Technology - [BIT Mesra],"The total amount for the BIT GP Birla Scholarship is 2.10 crores per annum. Suppose the no. of eligible students exceeds the available funds. In that case, the institute may revise the eligibility criteria to ensure that the total scholarship amount awarded does not exceed INR 2.10 crores every year. This scholarship covers either all part of tuition fees and dormitory costs and sometimes only the tuition fees. Given below are the different categories of BIT GP Birla Scholarships:"
6,Birla Institute of Technology - [BIT Mesra],BIT Mesra offers the following scholarships to the students of the BTech program based on their JEE Mains (CRL) rank. The tabulation below shows the scholarships offered to the different categories of students:
6,Birla Institute of Technology - [BIT Mesra],BIT Mesra also offers its BArch candidates to avail of scholarships based on their rank secured in the JEE Mains rank. The BArch candidates are given a certain percentage of fee waiver on the basis of the JEE Mains closing rank. Candidates can refer to the table below to know in detail:
7,Amity University,"Amity University Scholarships are available for meritorious candidates who have performed well in the entrance examinations and previously qualified exams. Apart from the merit-based scholarships, Amity University Noida also grants sports scholarships and martyr’s scholarships. Amity University has offered scholarships to over 50,000 students so far."
7,Amity University,"Note: Amity University will not consider any request for the scholarship for UG and PG courses after October 31, 2024."
7,Amity University,Table of Content
7,Amity University,"In order to avail of any scholarship at Amity University Noida, candidates must first apply for the same if they meet the eligibility criteria. The last date to apply for Amity scholarships is 31st October 2024. The flow-chart below shows the step-by-step Amity University Noida Scholarship Application Process:"
7,Amity University,
8,SRM Engineering College,the fee structure is high compared to other local colleges around the district. They provide scholarships but I am not aware of those details and campus jobs are provided. Financial assistance not sure because they didn't provide me.
8,SRM Engineering College,"The fees structure is based on srmjee rank for first years, people who all secure a rank below hundred they will get a hundred percent scholarship and this scholarship applies to all years still if they secure a cgpa above nine for all semesters but due to this online classes, they have increased the cgpa to 9.5 so people who secure above 9.5 in all semesters will get a hundred percent scholarship for the entire BTech. People who secure a rank below a thousand will get a scholarship of fifty percent of tuition fees and people who secure below two thousand five hundred ranks will get a scholarship of twenty-five percent on tuition fees. And all these scholarships will be available for all years only if they get a cgpa of above 9.5 and from the second year, they can get a special scholarship based on their academic performance and for people who are having a ninety percent or above in inter board and having an srm jee rank below ten thousand will get a scholarship of sixty thousand."
8,SRM Engineering College,"SRM Engineering College provides scholarships up to Rs 1 lakhs to meritorious students based on their academic achievements and potential. The scholarships are provided to the students on the basis of overall aggregate marks obtained by the student in the qualifying exam. To be eligible for availing of these scholarships, students have to maintain their attendance above 75% and must not have any case of interdisciplinary or unfair means."
8,SRM Engineering College,The fee is very high for this college. The scholarship is only given to those who got under 500 rank in srmjee or is the topper of his board but yeah one good thing is that approx 99point something percentage of students got placed in the company. According to their skills and knowledge.
8,SRM Engineering College,The fees hike are huge and it's cost around 6 lakhs.
9,SSN College of Engineering - [SSNCE],The course fee will be around 1.5 lakhs per year and shared hostel fee will be around 70000 excluding mess fee which you have to pay monthly. There are many scholarships available for the economically weaker section students and the students studied in government school and also for the department toppers. The caution deposit will be around 8000 including hostel and college.
9,SSN College of Engineering - [SSNCE],"Two categories for tuition fee Through anna university - 125000 per year Through management- 190000 per year Many scholarships available including AICTE, Rural scholarship Hostel fee starts at 75000 per year for shared room with no AC and goes upto 140000"
9,SSN College of Engineering - [SSNCE],"The First year is high compared to other years because of Hostel admission fee, caution & deposit fee for both hostel and college. The follwing are the fees of above mentioned Development & placement training fee- 20000/yr, other fees like Record book, lab coat,ID card, WIFI, Digital library- 54000/yr, Hostel Fee- 68500/yr. The scholarship for Reservation students like SC, and ST is 55,000/yr. Non-Reservation students don't have any scholarship but college provide merit cum scholarship for students who have high CGPA. The students who come from poor families this institution gives certain financial aid."
9,SSN College of Engineering - [SSNCE],"Our college contains counseling, management, and NRI categories For counseling - 100000. For Management - 200000. For NRI- I am not sure. Campus placements will be super good including internships. And timely scholarships will be provided for merits and others."
9,SSN College of Engineering - [SSNCE],"The fee structure is decent. You can get admission via either management or TNEA counseling, depending on the cutoff marks of the student. Scholarships will also be provided for outstanding students.."
10,SASTRA University,SASTRA University Thanjavur offers a variety of scholarships to meritorious and deserving students. SASTRA University Scholarships aim to provide financial assistance to students in the form of loans and awards. The university offers both governmental & non-governmental scholarships.
10,SASTRA University,Various scholarships offered by SASTRA University are as follows
10,SASTRA University,Check More: SASTRA University Courses & Fees
10,SASTRA University,Table of Content
10,SASTRA University,
11,Manipal Institute of Technology - [MIT],"My annual fee is 4,85,000 there will be caution deposit of ?15,000. There is no any compulsory charges during the course completion as per the category like management or SC or ST. There is no any such categories in fee payment."
11,Manipal Institute of Technology - [MIT],"The yearly college fees I'll be paying is 5.8 lac. It is higher for the students in computer related branches. The fees does not increase every year but might increae for the 2025 batch. 10k registration fee was asked but it was later included in the tuition fee. No other fee was asked except mess and hostel fees. Various scholarship such a merit cum need, achievers, girl child scholarships exist."
11,Manipal Institute of Technology - [MIT],"Most of the courses cost Rs 5,09,000 pa and hostel fees cost from 80k pa to 2,09,000pa. There are available scholarship merits which you get either if your family income is less than 8lpa or if you are in the top 5% of your branch. Scholarship waiver is alot and reduces the fees significantly. Fees also increases every year for new batch. Hostel fees also increases every year, but for everyone."
11,Manipal Institute of Technology - [MIT],"1. 4.9 Lakhs per year inclusive of all charges, which have been taken under tution fees itself. No additional lab fees, registration or admission fees. 2. No reservation of seats, so no difference in fees in categories. Except for national subsidies like PMSS for students from Jammu and AICTE freeship students. 3. Merit based scholarship is available for students achieving less than 5000 rank and obtaining a cgpa of 8.5 in their first year. Need based is AICTE for students with family income less than 7 lpa."
11,Manipal Institute of Technology - [MIT],"The tuition fee of 2024-2025 academic year is Rs. 5,05,000. The caution fee is Rs. 25,000 deposit, which gets credited later. No other fees during the course other than the tuition fee. Only other category is NRI which is approx. Rs. 10,00,000 per academic year."
